Gene,sgRNA,T47D_veh|beta,T47D_veh|z,T47D_veh|p-value,T47D_veh|fdr,T47D_veh|wald-p-value,T47D_veh|wald-fdr,T47D_E2|beta,T47D_E2|z,T47D_E2|p-value,T47D_E2|fdr,T47D_E2|wald-p-value,T47D_E2|wald-fdr,MCF7_veh|beta,MCF7_veh|z,MCF7_veh|p-value,MCF7_veh|fdr,MCF7_veh|wald-p-value,MCF7_veh|wald-fdr,MCF7_E2|beta,MCF7_E2|z,MCF7_E2|p-value,MCF7_E2|fdr,MCF7_E2|wald-p-value,MCF7_E2|wald-fdr
SPHKAP,6,-0.10479,-2.0864,0.45606,0.94076,0.036946,0.058946,0.16369,3.0591,0.5537,0.9511,0.0022203,0.0054871,0.069909,1.4066,0.93344,0.99204,0.15954,0.21373,0.10747,2.1531,0.713,0.9625,0.031314,0.054701
SLC35A4,6,-0.10468,-2.0735,0.45652,0.94076,0.038121,0.060609,0.031503,0.57416,0.91167,0.99197,0.56586,0.64694,-0.068485,-1.3409,0.55572,0.94387,0.17995,0.23749,0.066936,1.3253,0.88659,0.9878,0.18507,0.25385
WDFY4,6,-0.10468,-2.0856,0.45652,0.94076,0.037014,0.059046,-0.17973,-3.1712,0.25061,0.84865,0.0015181,0.0039048,0.052426,1.0516,0.99583,0.99885,0.29297,0.36296,0.25832,5.2828,0.2319,0.83448,1.27E-07,7.35E-07
ERGIC1,6,-0.10465,-2.2914,0.45657,0.94076,0.021938,0.036964,0.10862,2.2712,0.76502,0.97799,0.023137,0.043251,-0.1757,-3.7738,0.27674,0.85924,0.0001608,0.00041899,-0.10514,-2.2597,0.43617,0.92156,0.023837,0.043054
ACTL6B,6,-0.10463,-1.9297,0.45657,0.94076,0.053645,0.082037,0.15201,2.7691,0.5978,0.95976,0.0056215,0.012526,0.18069,3.6135,0.5344,0.93853,0.00030214,0.00074503,0.064822,1.2595,0.89663,0.98998,0.20785,0.28023
ROR1,6,-0.10458,-2.0327,0.4568,0.94076,0.042081,0.066181,0.30138,5.6413,0.19088,0.83514,1.69E-08,1.26E-07,0.079659,1.5681,0.897,0.9896,0.11686,0.16262,0.03479,0.67212,0.97002,0.9955,0.50151,0.58153
FCGR2A,6,-0.10454,-1.7351,0.4568,0.94076,0.082724,0.12021,0.17808,2.723,0.50507,0.94621,0.0064693,0.014128,0.13162,2.2484,0.7008,0.97043,0.024553,0.040993,0.31113,5.4488,0.14284,0.76636,5.07E-08,3.17E-07
PHF15,6,-0.10454,-2.0361,0.4568,0.94076,0.041743,0.065702,0.022275,0.40113,0.87509,0.98918,0.68832,0.75517,0.14194,2.8178,0.66349,0.96549,0.0048357,0.0094171,0.22395,4.4564,0.31703,0.88635,8.33E-06,3.37E-05
ASCL5,6,-0.10452,-1.9012,0.45684,0.94076,0.057279,0.086931,-0.03622,-0.62938,0.64492,0.96597,0.5291,0.6135,0.096459,1.908,0.83287,0.98294,0.056397,0.085806,0.034728,0.67184,0.96965,0.9955,0.50168,0.58165
SLC2A1,6,-0.10434,-2.1434,0.45739,0.94076,0.032085,0.051974,-0.20501,-3.7617,0.21155,0.84171,0.00016878,0.00055045,-0.087706,-1.7795,0.49544,0.93295,0.075166,0.11044,-0.0088254,-0.17941,0.78785,0.97355,0.85762,0.89111
IGLL5,6,-0.10432,-1.9375,0.45739,0.94076,0.052678,0.080736,0.077154,1.3037,0.89553,0.99044,0.19233,0.26665,0.29079,5.6899,0.25372,0.84869,1.27E-08,6.57E-08,0.0052519,0.096286,0.84566,0.98201,0.92329,0.94282
NT5E,6,-0.1043,-1.8802,0.45744,0.94076,0.060075,0.0906,0.13121,2.1818,0.67477,0.96819,0.029121,0.052689,-0.039872,-0.7123,0.64992,0.96374,0.47628,0.54898,0.030935,0.55334,0.95388,0.99508,0.58003,0.6527
NTN3,6,-0.10428,-2.037,0.45744,0.94076,0.041646,0.065564,-0.16921,-2.8924,0.27201,0.86827,0.0038235,0.0089095,0.049569,0.97527,0.9846,0.99824,0.32943,0.40141,0.017501,0.33888,0.89773,0.98998,0.7347,0.78945
CCNT2,6,-0.10426,-2.1068,0.45753,0.94076,0.035139,0.056331,-0.11803,-2.1513,0.3901,0.91496,0.031453,0.056344,0.16795,3.4693,0.57566,0.94756,0.00052173,0.001236,-0.033869,-0.67414,0.68627,0.96013,0.50022,0.58038
UBXN6,6,-0.10423,-2.1053,0.45762,0.94076,0.035268,0.056522,-0.23344,-4.0827,0.17328,0.81989,4.45E-05,0.00016509,-0.063068,-1.2601,0.57227,0.94756,0.20764,0.26926,-0.016728,-0.33323,0.75503,0.96995,0.73896,0.79325
SGCA,6,-0.10421,-2.0535,0.45771,0.94076,0.040019,0.063276,0.083827,1.5237,0.8689,0.98918,0.12759,0.18819,-0.08928,-1.7307,0.4904,0.93161,0.083504,0.1211,-0.088106,-1.6884,0.49076,0.93217,0.091331,0.13832
ENTPD1,6,-0.10416,-1.8991,0.4578,0.94076,0.057558,0.087269,0.056747,0.99283,0.98162,0.99744,0.32079,0.40898,0.28956,5.8022,0.25597,0.84869,6.55E-09,3.51E-08,0.18489,3.6073,0.42883,0.91887,0.00030936,0.00088948
ERP44,6,-0.10416,-1.9559,0.4578,0.94076,0.050476,0.077851,0.13486,2.4904,0.66005,0.96698,0.012761,0.025661,-0.074259,-1.4438,0.53541,0.93853,0.14881,0.20113,-0.22745,-4.2589,0.17438,0.79185,2.05E-05,7.65E-05
LRP10,6,-0.10415,-2.1794,0.4578,0.94076,0.0293,0.04794,0.015527,0.30105,0.84744,0.98746,0.76337,0.81781,0.024158,0.50677,0.8859,0.98809,0.61232,0.6772,-0.18448,-3.7222,0.24465,0.84246,0.0001975,0.0005942
SUN1,6,-0.10412,-2.0349,0.45785,0.94076,0.041862,0.06586,-0.020538,-0.36775,0.70374,0.97134,0.71306,0.77618,0.18147,3.6318,0.5322,0.93853,0.00028148,0.00069881,0.21693,4.3251,0.33454,0.89169,1.52E-05,5.84E-05
KHDC1L,6,-0.10411,-1.9679,0.45785,0.94076,0.049074,0.07591,0.063717,1.1032,0.95338,0.99572,0.26994,0.35368,-0.31578,-5.6117,0.097456,0.72546,2.00E-08,1.01E-07,0.00093922,0.017534,0.82833,0.98021,0.98601,0.99014
WDR13,6,-0.10411,-2.0318,0.45785,0.94076,0.042175,0.066305,0.12701,2.5362,0.69191,0.96962,0.011206,0.022938,-0.087677,-1.827,0.49548,0.93295,0.067696,0.10078,-0.032604,-0.67853,0.69081,0.96116,0.49743,0.57782
ECEL1,6,-0.10407,-2.0762,0.45785,0.94076,0.037871,0.060277,0.083584,1.5555,0.87018,0.98918,0.11982,0.17825,-0.2402,-4.612,0.17328,0.79612,3.99E-06,1.37E-05,-0.15478,-2.9822,0.30681,0.88096,0.0028621,0.0065775
DYM,6,-0.10403,-2.1156,0.45794,0.94077,0.034376,0.055259,0.090625,1.7218,0.83947,0.98687,0.085113,0.13327,-0.19354,-3.8176,0.24497,0.84173,0.00013477,0.00035633,-0.11741,-2.3203,0.40248,0.91362,0.020327,0.037452
ZNF672,6,-0.10397,-2.0761,0.45813,0.94097,0.037882,0.06029,-0.18198,-3.2358,0.24767,0.84623,0.0012129,0.0032006,0.06237,1.2552,0.96296,0.99551,0.20939,0.27119,-0.14588,-2.8208,0.32821,0.89169,0.0047906,0.01042
OR2W1,4,-0.10395,-1.7077,0.45822,0.94107,0.087697,0.12672,-0.064075,-0.94809,0.55008,0.94937,0.34308,0.4322,0.11208,1.8705,0.77346,0.97974,0.061414,0.09244,-0.035085,-0.56677,0.67999,0.95797,0.57087,0.6449
POC1A,6,-0.1039,-2.2425,0.4584,0.94127,0.02493,0.041451,0.24243,5.075,0.31277,0.88613,3.87E-07,2.21E-06,-0.29982,-6.2439,0.11052,0.73782,4.27E-10,2.73E-09,-0.12549,-2.6494,0.38033,0.90555,0.0080632,0.016549
GIGYF2,6,-0.10386,-1.8496,0.45854,0.94138,0.064365,0.096271,-0.30544,-4.494,0.10374,0.76074,6.99E-06,3.10E-05,0.2911,5.4572,0.25327,0.84869,4.84E-08,2.29E-07,-0.0083659,-0.14669,0.7895,0.97394,0.88338,0.91163
ESX1,6,-0.10379,-2.1883,0.45877,0.94166,0.028646,0.04701,0.082838,1.6426,0.87334,0.98918,0.10046,0.15356,-0.074821,-1.5612,0.53344,0.93853,0.11847,0.1646,-0.16804,-3.4301,0.27788,0.86304,0.0006033,0.0016224
SNRNP27,6,-0.10372,-1.8424,0.45904,0.94187,0.065423,0.097701,-0.98654,-11.149,0.0055466,0.56503,7.24E-29,9.64E-27,0.22479,4.1694,0.40729,0.9068,3.05E-05,9.05E-05,-0.17993,-3.0248,0.254,0.84933,0.0024879,0.0058233
C11orf40,6,-0.10371,-1.9212,0.45904,0.94187,0.054704,0.083465,0.096467,1.6465,0.81623,0.98311,0.099652,0.15251,0.18623,3.5577,0.51808,0.93446,0.00037407,0.00090621,0.24662,4.7082,0.2584,0.85066,2.50E-06,1.13E-05
PYGO2,6,-0.10367,-1.874,0.45923,0.94208,0.060931,0.09172,-0.05457,-0.86202,0.57914,0.95654,0.38868,0.47901,-0.037876,-0.67828,0.65634,0.96517,0.49759,0.56943,-0.15155,-2.6077,0.31423,0.88543,0.0091156,0.018437
MT1X,5,-0.10366,-1.743,0.45932,0.94208,0.081341,0.11842,-0.30958,-4.0673,0.10048,0.7556,4.76E-05,0.00017547,-0.32666,-5.121,0.089846,0.71851,3.04E-07,1.26E-06,-0.2104,-3.3368,0.20073,0.81546,0.00084737,0.0022059
DNAJC25,6,-0.10362,-2.1026,0.4595,0.94211,0.035505,0.056864,0.18441,3.3043,0.48389,0.94216,0.00095203,0.00258,0.020479,0.41644,0.87091,0.98578,0.67709,0.73567,-0.028359,-0.56651,0.70782,0.9625,0.57105,0.64496
PRSS37,6,-0.10356,-2.156,0.45964,0.9423,0.031081,0.050577,-0.02928,-0.56525,0.67082,0.96795,0.57191,0.65252,-0.036441,-0.75482,0.66184,0.96549,0.45036,0.52409,0.013686,0.27182,0.88182,0.9878,0.78576,0.83247
GAREM,6,-0.10353,-2.1846,0.45968,0.9423,0.028919,0.047401,-0.0043417,-0.085632,0.76759,0.97832,0.93176,0.95058,-0.096202,-2.0057,0.47101,0.92534,0.044891,0.07011,0.0016082,0.033663,0.83113,0.98036,0.97315,0.98025
TMEM204,6,-0.10348,-2.1752,0.45982,0.9425,0.029618,0.048409,-0.099585,-1.9018,0.44277,0.93112,0.057196,0.094488,-0.081654,-1.6966,0.51304,0.93405,0.08977,0.12914,-0.25555,-5.1258,0.13922,0.76248,2.96E-07,1.61E-06
C16orf11,6,-0.10341,-1.8971,0.46028,0.94258,0.057821,0.087618,-0.08903,-1.5014,0.47348,0.93838,0.13325,0.19535,-0.028617,-0.54202,0.6904,0.96787,0.5878,0.65483,-0.14421,-2.6411,0.33174,0.89169,0.0082639,0.01691
GPT2,6,-0.10341,-1.7117,0.46028,0.94258,0.086955,0.12579,0.28722,4.5123,0.21444,0.84171,6.41E-06,2.86E-05,0.12047,2.0451,0.74288,0.97756,0.040846,0.064481,-0.089836,-1.4321,0.48549,0.93121,0.1521,0.2147
STBD1,6,-0.10341,-2.0726,0.46028,0.94258,0.03821,0.060723,0.0092464,0.16962,0.82095,0.98407,0.86531,0.90005,0.032925,0.66257,0.92033,0.99078,0.5076,0.57915,0.33021,6.8669,0.11708,0.72958,6.56E-12,8.12E-11
MCM3AP,6,-0.10337,-1.9739,0.46046,0.94258,0.048388,0.074955,-0.12071,-2.0322,0.38295,0.91218,0.042132,0.072669,-0.39931,-7.0602,0.053358,0.66363,1.66E-12,1.49E-11,-0.30532,-5.4315,0.092826,0.69207,5.59E-08,3.47E-07
LINGO1,6,-0.10328,-2.213,0.46092,0.9428,0.0269,0.044413,0.084582,1.7116,0.86587,0.98918,0.086965,0.13586,0.093036,2.0129,0.84456,0.98294,0.044125,0.069051,-0.0090269,-0.19159,0.78707,0.97341,0.84807,0.88313
C9orf85,6,-0.10327,-1.8881,0.46092,0.9428,0.059019,0.089162,0.016315,0.27072,0.85084,0.98798,0.78661,0.83731,-0.22849,-3.999,0.1901,0.81152,6.36E-05,0.0001781,-0.40995,-6.8182,0.043044,0.60388,9.22E-12,1.12E-10
OR2C3,6,-0.10324,-2.1765,0.46106,0.9428,0.029519,0.048262,-0.201,-3.7757,0.2165,0.8421,0.00015957,0.00052212,0.0040955,0.086311,0.80889,0.98181,0.93122,0.94698,0.058924,1.2403,0.92423,0.99325,0.21488,0.28781
OR4P4,6,-0.1032,-1.9114,0.46143,0.9428,0.055953,0.085163,0.0192,0.31974,0.86271,0.98891,0.74916,0.80618,0.38507,7.6168,0.12001,0.75122,2.60E-14,2.96E-13,0.2625,5.0348,0.22283,0.82869,4.78E-07,2.49E-06
ITGB8,6,-0.10319,-2.1949,0.46147,0.9428,0.028171,0.046312,-0.061263,-1.2027,0.55851,0.95232,0.22911,0.30842,-0.079066,-1.6647,0.52083,0.93573,0.095982,0.13692,-0.0055043,-0.11602,0.80133,0.97608,0.90764,0.93085
GPCPD1,6,-0.10318,-2.1134,0.46147,0.9428,0.034566,0.055539,-0.22174,-4.0186,0.18891,0.83269,5.85E-05,0.00021135,-0.065542,-1.3291,0.56475,0.9468,0.18382,0.24192,-0.047882,-0.96443,0.6308,0.95586,0.33483,0.41753
MANBA,6,-0.10317,-1.9147,0.46147,0.9428,0.05553,0.084594,-0.1034,-1.6545,0.43223,0.9298,0.098021,0.15025,0.15974,3.0559,0.60316,0.95403,0.002244,0.0046625,0.1011,1.8879,0.7411,0.96749,0.059036,0.094934
NRG1,6,-0.10315,-2.07,0.46161,0.9428,0.038454,0.061049,0.32356,6.304,0.15622,0.80994,2.90E-10,3.00E-09,0.27423,5.7122,0.2887,0.8657,1.12E-08,5.81E-08,0.36794,7.6926,0.079303,0.67002,1.44E-14,2.68E-13
TUBGCP4,6,-0.10306,-1.8046,0.46175,0.9429,0.071143,0.10532,-0.4809,-6.6246,0.031996,0.62153,3.48E-11,4.22E-10,-0.84689,-12.132,0.0065551,0.58128,7.11E-34,6.44E-32,-0.63712,-9.4973,0.01366,0.59095,2.15E-21,1.07E-19
HCST,6,-0.10294,-2.1465,0.4622,0.94302,0.031831,0.051616,-0.193,-3.6112,0.22989,0.84325,0.00030479,0.00093371,-0.31991,-6.3779,0.09411,0.72228,1.80E-10,1.22E-09,-0.26191,-5.2164,0.13307,0.75379,1.82E-07,1.03E-06
RICTOR,6,-0.10289,-1.8083,0.46234,0.94302,0.070568,0.10455,0.0090142,0.13997,0.82026,0.98407,0.88868,0.91736,0.12189,2.1963,0.73711,0.97577,0.02807,0.046191,0.17579,3.1604,0.45762,0.92615,0.0015754,0.0038562
C1orf35,6,-0.10288,-2.0078,0.46234,0.94302,0.044664,0.06975,-0.056188,-0.97911,0.5736,0.95606,0.32753,0.41626,0.25058,5.0847,0.34275,0.88408,3.68E-07,1.51E-06,0.21712,4.3403,0.33413,0.89169,1.42E-05,5.49E-05
PRPF6,6,-0.10287,-2.0694,0.46234,0.94302,0.038506,0.061123,-0.031149,-0.56702,0.66372,0.96778,0.5707,0.65132,-0.058148,-1.1576,0.5873,0.94824,0.24702,0.31283,-0.048898,-0.96455,0.62709,0.95586,0.33477,0.41753
RLBP1,6,-0.10284,-2.099,0.46234,0.94302,0.03582,0.057309,0.17701,3.4381,0.50818,0.94621,0.00058585,0.0016711,0.18652,3.8961,0.5173,0.93446,9.78E-05,0.00026571,0.20735,4.3079,0.3609,0.90029,1.65E-05,6.26E-05
KCTD10,6,-0.10278,-1.9668,0.46262,0.94302,0.049205,0.076079,-0.20576,-3.3517,0.21063,0.84171,0.00080317,0.0022165,0.08057,1.5627,0.89365,0.98904,0.11813,0.16419,-0.068141,-1.2691,0.55861,0.94395,0.20441,0.27641
DSC2,6,-0.10277,-2.0594,0.46262,0.94302,0.03946,0.062491,0.096689,1.8139,0.81563,0.98293,0.069693,0.11194,0.35812,7.5052,0.1482,0.7799,6.13E-14,6.67E-13,0.29643,6.1196,0.16498,0.78804,9.38E-10,8.08E-09
KATNA1,6,-0.10271,-2.0227,0.46285,0.94302,0.043104,0.067589,0.11028,2.0316,0.75842,0.97711,0.042198,0.072771,-0.086672,-1.6822,0.49883,0.93297,0.092529,0.13261,-0.14077,-2.6797,0.33972,0.89331,0.0073694,0.015263
LRRC20,6,-0.10265,-2.0914,0.46312,0.94302,0.036488,0.05828,0.12164,2.3342,0.71286,0.97236,0.019583,0.037382,-0.042391,-0.85772,0.6408,0.96116,0.39105,0.46484,-0.11255,-2.2323,0.41623,0.91664,0.025595,0.045861
PPIL3,6,-0.10259,-1.9603,0.46335,0.94302,0.049955,0.077147,-0.073791,-1.2449,0.52001,0.94701,0.21317,0.29091,-0.065317,-1.2313,0.56525,0.9468,0.21822,0.28129,-0.26278,-4.6951,0.13211,0.75248,2.66E-06,1.20E-05
DEFB110,6,-0.10256,-1.9337,0.46349,0.94302,0.053156,0.081386,0.27039,4.8629,0.24928,0.84823,1.16E-06,6.00E-06,0.001645,0.030983,0.79931,0.98139,0.97528,0.98063,-0.073371,-1.345,0.54128,0.94248,0.17862,0.24639
NR2C2,6,-0.10254,-1.9005,0.46358,0.94302,0.057363,0.087027,-0.18844,-2.9853,0.23713,0.84438,0.0028333,0.0068228,-0.34179,-5.8959,0.080999,0.71474,3.73E-09,2.07E-08,-0.2643,-4.5724,0.13037,0.74822,4.82E-06,2.06E-05
BANF1,6,-0.10252,-2.0002,0.46363,0.94302,0.045482,0.07089,-0.1105,-1.9452,0.41128,0.92291,0.051746,0.086948,-0.20061,-3.7923,0.23397,0.83792,0.00014926,0.00039127,-0.054603,-1.0454,0.60623,0.95279,0.29584,0.37636
PRMT5,6,-0.10252,-2.1162,0.46363,0.94302,0.034327,0.055184,-0.034618,-0.6559,0.65033,0.96656,0.51189,0.59751,-0.42921,-8.2876,0.043823,0.65105,1.16E-16,1.77E-15,-0.37281,-7.1884,0.055971,0.62368,6.56E-13,9.50E-12
AMOTL1,6,-0.10249,-2.1436,0.46367,0.94302,0.032064,0.051949,0.25982,5.2474,0.27311,0.86917,1.54E-07,9.54E-07,0.08264,1.7449,0.88567,0.98809,0.080996,0.11792,0.1754,3.7163,0.45923,0.92737,0.00020214,0.00060691
PA2G4,6,-0.10249,-2.083,0.46367,0.94302,0.037249,0.059373,-0.17528,-3.1583,0.25991,0.85922,0.001587,0.0040619,0.071758,1.4717,0.92588,0.99142,0.14111,0.19194,0.00023017,0.004629,0.82507,0.97971,0.99631,0.99745
TAC4,6,-0.10249,-1.9794,0.46367,0.94302,0.047769,0.074101,0.0096491,0.16778,0.82287,0.98475,0.86675,0.90119,0.12471,2.4589,0.72588,0.97392,0.013938,0.024597,0.062894,1.2128,0.90589,0.98998,0.22522,0.29935
GDF15,6,-0.10243,-1.9466,0.46404,0.94302,0.051578,0.079321,0.025338,0.44741,0.88636,0.98946,0.65458,0.72588,-0.22027,-4.0515,0.20298,0.82634,5.09E-05,0.00014484,-0.12179,-2.2515,0.39042,0.90995,0.024356,0.043888
GPR62,6,-0.10235,-2.1477,0.46454,0.94302,0.031735,0.051476,0.22464,4.5562,0.36012,0.90486,5.21E-06,2.37E-05,-0.034409,-0.71867,0.66926,0.96654,0.47234,0.54499,-0.029856,-0.61929,0.70094,0.96175,0.53573,0.61305
MECOM,6,-0.10235,-1.8703,0.46454,0.94302,0.061441,0.092373,0.15559,2.6502,0.58474,0.9572,0.0080455,0.017125,0.19248,3.6324,0.49929,0.93297,0.00028079,0.0006975,-0.00035407,-0.0063837,0.82269,0.97953,0.99491,0.99641
SAMD4A,6,-0.10233,-2.1225,0.46463,0.94302,0.033795,0.054409,-0.60329,-9.5425,0.016411,0.57188,1.39E-21,7.39E-20,-0.12269,-2.498,0.39601,0.90376,0.012489,0.022227,0.010404,0.21396,0.86816,0.98571,0.83058,0.86852
ICOSLG,6,-0.10231,-1.87,0.46468,0.94302,0.061481,0.092427,-0.17302,-2.7188,0.26427,0.86315,0.006551,0.014285,-0.34929,-5.7591,0.077286,0.70954,8.45E-09,4.46E-08,0.11857,2.1859,0.66871,0.95667,0.028824,0.050891
TFAM,6,-0.10229,-1.8839,0.46468,0.94302,0.059577,0.089924,-0.5933,-8.2329,0.017328,0.57943,1.83E-16,5.16E-15,0.0053774,0.098991,0.81329,0.98263,0.92115,0.9391,-0.30584,-5.1881,0.092643,0.69207,2.13E-07,1.19E-06
SERTAD1,6,-0.10227,-1.9497,0.46477,0.94302,0.051208,0.078824,-0.1881,-3.0915,0.2375,0.84438,0.0019914,0.0049781,0.21073,4.1574,0.44469,0.91866,3.22E-05,9.50E-05,0.32281,6.4161,0.12711,0.7439,1.40E-10,1.39E-09
FHOD1,6,-0.10223,-2.1917,0.46486,0.94302,0.028398,0.046645,-0.095157,-1.8745,0.4546,0.93249,0.060856,0.099668,0.10424,2.2586,0.80275,0.98139,0.023907,0.040033,0.015207,0.32391,0.8881,0.98797,0.746,0.79857
SLC5A1,6,-0.10219,-1.9976,0.46505,0.94302,0.045758,0.071244,-0.26039,-4.4019,0.14256,0.79841,1.07E-05,4.58E-05,-0.19573,-3.7003,0.24185,0.84116,0.00021536,0.00054834,0.028036,0.54426,0.94105,0.99439,0.58626,0.65805
AICDA,6,-0.10211,-2.0813,0.46532,0.94302,0.037408,0.059609,0.029513,0.55369,0.9036,0.99108,0.57979,0.65992,0.39813,8.5379,0.10759,0.73298,1.37E-17,2.35E-16,0.15447,3.186,0.52986,0.93873,0.0014426,0.003561
NYAP2,6,-0.10211,-2.0751,0.46532,0.94302,0.037979,0.06041,0.1537,2.9591,0.59198,0.95851,0.0030849,0.0073605,-0.034199,-0.69094,0.66991,0.96654,0.48961,0.56206,-0.020803,-0.41722,0.73761,0.96654,0.67652,0.73894
SLITRK3,6,-0.10211,-2.0223,0.46532,0.94302,0.043143,0.067647,-0.19621,-3.4015,0.22425,0.84325,0.00067006,0.001886,-0.14826,-2.8627,0.33537,0.87932,0.0042005,0.0082733,-0.19829,-3.7525,0.22104,0.82869,0.00017509,0.00053309
F11R,6,-0.10206,-2.0298,0.46551,0.94302,0.042379,0.066582,-0.013204,-0.23928,0.73358,0.97527,0.81089,0.85697,-0.055835,-1.0995,0.59487,0.95265,0.27157,0.33981,-0.1587,-3.0387,0.29828,0.87909,0.0023759,0.005581
IL17RC,6,-0.10206,-1.9057,0.46551,0.94302,0.056692,0.086153,-0.21433,-3.4044,0.19867,0.83885,0.0006632,0.0018685,0.049412,0.92993,0.98396,0.99824,0.35241,0.425,-0.075411,-1.3674,0.53376,0.93964,0.1715,0.23798
GRPEL1,6,-0.10205,-1.8268,0.46551,0.94302,0.067725,0.10079,-0.3419,-5.1114,0.078295,0.71836,3.20E-07,1.86E-06,-0.28723,-4.8639,0.12079,0.7529,1.15E-06,4.34E-06,-0.34074,-5.6321,0.070319,0.65249,1.78E-08,1.21E-07
TCTE1,6,-0.10205,-1.9052,0.46551,0.94302,0.056757,0.086235,-0.253,-3.9837,0.14981,0.80433,6.79E-05,0.00024118,-0.072054,-1.3249,0.54256,0.93967,0.18522,0.24354,0.021598,0.39935,0.91414,0.99101,0.68963,0.75015
PRDM15,6,-0.10195,-2.0632,0.46592,0.94302,0.039097,0.061975,-0.22361,-3.9534,0.18643,0.83131,7.70E-05,0.0002708,0.29912,6.2979,0.23919,0.84101,3.02E-10,1.98E-09,0.1284,2.6198,0.6292,0.95586,0.0087975,0.017874
SOX3,6,-0.10186,-1.9575,0.46619,0.94302,0.050285,0.077602,-0.21774,-3.602,0.19418,0.83809,0.00031579,0.00096442,-0.054184,-1.0301,0.60032,0.95341,0.30295,0.3737,0.10039,1.9385,0.74353,0.96784,0.052567,0.085787
NDUFB8,6,-0.10179,-1.8792,0.46638,0.94302,0.06021,0.09078,-0.51817,-7.3172,0.025258,0.60836,2.53E-13,4.33E-12,-0.28937,-5.0038,0.11937,0.75122,5.62E-07,2.24E-06,-0.19442,-3.386,0.22782,0.83152,0.0007092,0.0018776
ART1,6,-0.10172,-2.0017,0.46642,0.94302,0.045321,0.070671,-0.040398,-0.72098,0.62902,0.96511,0.47092,0.55911,0.17392,3.5061,0.5565,0.94411,0.00045471,0.0010876,0.014929,0.29117,0.887,0.9878,0.77092,0.81977
PPFIBP2,6,-0.1017,-2.0203,0.46651,0.94302,0.04335,0.067944,0.3334,6.4461,0.14169,0.79711,1.15E-10,1.26E-09,0.0071852,0.14273,0.81976,0.98263,0.88651,0.91172,-0.13652,-2.6256,0.35095,0.89712,0.0086497,0.017599
CTSC,6,-0.10168,-2.0483,0.46661,0.94302,0.040528,0.063988,0.1045,1.9612,0.7835,0.98053,0.049861,0.084091,0.22653,4.7092,0.40257,0.90602,2.49E-06,8.89E-06,0.24487,5.0585,0.26275,0.85245,4.23E-07,2.23E-06
ZC3H11A,6,-0.10166,-1.8939,0.46679,0.94302,0.058233,0.088176,0.061822,1.0579,0.96163,0.99583,0.2901,0.37573,0.20186,3.881,0.47023,0.92499,0.00010403,0.00028128,0.029307,0.54196,0.94618,0.99456,0.58784,0.65947
TFPI,6,-0.10164,-2.0181,0.46683,0.94302,0.043584,0.068259,-0.020903,-0.37501,0.70222,0.97134,0.70766,0.77194,0.23033,4.7314,0.39212,0.90137,2.23E-06,8.03E-06,0.29433,6.0457,0.16764,0.78953,1.49E-09,1.24E-08
ILK,6,-0.10159,-2.0021,0.46716,0.94302,0.045275,0.070604,0.048148,0.86416,0.98208,0.99744,0.3875,0.4778,0.054299,1.0786,0.99629,0.9989,0.28075,0.34965,-0.033691,-0.65126,0.68664,0.96013,0.51488,0.59413
EBI3,6,-0.10158,-1.9813,0.4672,0.94302,0.047553,0.073787,0.052566,0.95268,0.99885,0.99982,0.34075,0.4299,-0.19494,-3.6885,0.243,0.84116,0.00022557,0.00057232,-0.20593,-3.8493,0.2083,0.82138,0.00011848,0.00037383
UQCC2,5,-0.10157,-1.9415,0.46725,0.94302,0.052193,0.080109,-0.060426,-1.074,0.5609,0.95273,0.28282,0.36793,-0.022984,-0.43785,0.70988,0.97146,0.66149,0.72188,-0.12509,-2.3374,0.38139,0.90602,0.01942,0.035992
HIST1H2BJ,6,-0.10149,-1.9319,0.46761,0.94302,0.053367,0.081669,0.1532,2.7562,0.59377,0.95892,0.0058472,0.012951,-0.19648,-3.6255,0.24025,0.84112,0.00028845,0.00071465,-0.14244,-2.6238,0.33555,0.8917,0.0086947,0.017685
FBF1,6,-0.10143,-2.0443,0.46775,0.94302,0.040924,0.064533,-0.18306,-3.2631,0.24561,0.84538,0.0011019,0.0029346,0.046844,0.94935,0.9736,0.99714,0.34244,0.41479,-0.066556,-1.3134,0.56452,0.94631,0.18904,0.2586
DRAP1,6,-0.10142,-1.9202,0.4678,0.94302,0.05483,0.083633,-0.35758,-5.6737,0.06986,0.70697,1.40E-08,1.06E-07,-0.34023,-6.0481,0.081687,0.71474,1.47E-09,8.67E-09,-0.30764,-5.4344,0.091313,0.69191,5.50E-08,3.42E-07
SPNS3,6,-0.10141,-1.8964,0.4678,0.94302,0.057903,0.087738,-0.033367,-0.56651,0.65469,0.96698,0.57104,0.65167,0.27087,5.2705,0.29617,0.86657,1.36E-07,6.00E-07,0.1234,2.326,0.64974,0.95631,0.020016,0.036964
HOXA9,6,-0.10136,-2.0377,0.46803,0.94302,0.041577,0.065473,-0.19974,-3.5095,0.21834,0.84292,0.00044902,0.0013175,0.024192,0.48753,0.88604,0.98809,0.62588,0.68954,-0.053568,-1.0554,0.60972,0.95342,0.29125,0.37134
LAIR1,6,-0.10134,-1.9826,0.46812,0.94302,0.04741,0.073604,0.094789,1.7507,0.82255,0.98469,0.079995,0.12626,0.059536,1.1725,0.9746,0.99733,0.24101,0.30635,0.081913,1.6045,0.82246,0.97953,0.10861,0.16067
